id,text,category,response_type,description,response_format,agreement_options,importance_options,importance_direct_options,custom_agreement_labels,custom_importance_direct_labels,order_index,created_at,updated_at,priority_options,municipality_id,political_axis,political_weight,political_interpretation,score_inversion
lav_q16_limitation_touristes,La Ville de Laval devrait limiter le nombre de touristes dans certains secteurs pour protéger la qualité de vie des résidents.,Développement économique et social,agreement,Cette question mesure la priorité accordée à l'équilibre entre tourisme et vie locale.,standard,"[""FA"", ""PA"", ""N"", ""PD"", ""FD"", ""IDK""]","[5, 4, 3, 2, 1]",,,,16,2025-09-24 00:41:13.423656+00,2025-09-24 00:41:13.423656+00,,laval,neutral,1.00,neutral,false
lav_q18_augmentation_effectifs_policiers,Il faudrait augmenter le nombre de policiers pour améliorer la sécurité dans les secteurs.,Sécurité publique et services municipaux,agreement,,standard,"[""FA"", ""PA"", ""N"", ""PD"", ""FD"", ""IDK""]","[5, 4, 3, 2, 1]",,,,18,2025-09-24 00:41:13.423656+00,2025-09-24 00:41:13.423656+00,,laval,neutral,1.00,neutral,false
lav_q19_investissement_infrastructures_loisirs_sportives,"La Ville de Laval devrait investir plus dans les parcs, arénas et terrains de sport de secteur.",Sécurité publique et services municipaux,agreement,Cette question évalue la priorité accordée aux services de proximité.,standard,"[""FA"", ""PA"", ""N"", ""PD"", ""FD"", ""IDK""]","[5, 4, 3, 2, 1]",,,,19,2025-09-24 00:41:13.423656+00,2025-09-24 00:41:13.423656+00,,laval,neutral,1.00,neutral,false
lav_q2_pistes_cyclables,"La Ville de Laval devrait développer davantage les pistes cyclables, même si cela réduit l'espace pour les voitures.",Mobilité et transport,agreement,Cette question évalue la priorité accordée aux transports actifs versus l'automobile.,standard,"[""FA"", ""PA"", ""N"", ""PD"", ""FD"", ""IDK""]","[5, 4, 3, 2, 1]",,,,3,2025-09-24 00:41:13.423656+00,2025-09-24 00:41:13.423656+00,,laval,neutral,1.00,neutral,false
lav_q20_protection_patrimoine,"La Ville de Laval devrait renforcer les règles qui protègent les vieux bâtiments et le patrimoine, même si cela limite certains projets.",Patrimoine et identité,agreement,,standard,"[""FA"", ""PA"", ""N"", ""PD"", ""FD"", ""IDK""]","[5, 4, 3, 2, 1]",,,,20,2025-09-24 00:41:13.423656+00,2025-09-24 00:41:13.423656+00,,laval,neutral,1.00,neutral,false
lav_q4_priorite_mobilite_active,"Pour améliorer l'attractivité du centre-ville, la priorité devrait être donnée aux piétons, cyclistes et au transport collectif, même si cela implique de réduire l'espace dédié à l'automobile (stationnements, voies de circulation, etc.).",Mobilité et transport,agreement,,standard,"[""FA"", ""PA"", ""N"", ""PD"", ""FD"", ""IDK""]","[5, 4, 3, 2, 1]",,,,4,2025-09-24 00:41:13.423656+00,2025-09-24 00:41:13.423656+00,,laval,neutral,1.00,neutral,false
lav_q5_quotas_logements_abordables,La Ville de Laval devrait obliger un nombre minimum de logements abordables dans chaque nouveau projet immobilier.,Habitation et aménagement urbain,agreement,,standard,"[""FA"", ""PA"", ""N"", ""PD"", ""FD"", ""IDK""]","[5, 4, 3, 2, 1]",,,,5,2025-09-24 00:41:13.423656+00,2025-09-24 00:41:13.423656+00,,laval,neutral,1.00,neutral,false
lav_q7_immeubles_grande_hauteur,Les immeubles de grande hauteur devraient être favorisés pour maximiser l'utilisation des terrains disponibles.,Habitation et aménagement urbain,agreement,,standard,"[""FA"", ""PA"", ""N"", ""PD"", ""FD"", ""IDK""]","[5, 4, 3, 2, 1]",,,,7,2025-09-24 00:41:13.423656+00,2025-09-24 00:41:13.423656+00,,laval,neutral,1.00,neutral,false
lav_q8_interdire_essence_centre_ville,La Ville de Laval devrait interdire les véhicules à essence dans le centre-ville d'ici 2035.,Environnement et développement durable,agreement,Cette question évalue la priorité accordée aux mesures environnementales radicales en mobilité urbaine.,standard,"[""FA"", ""PA"", ""N"", ""PD"", ""FD"", ""IDK""]","[5, 4, 3, 2, 1]",,,,8,2025-09-24 00:41:13.423656+00,2025-09-24 00:41:13.423656+00,,laval,neutral,1.00,neutral,false
lav_q9_protection_espaces_verts,"La Ville de Laval devrait mettre plus d'argent pour protéger et agrandir les espaces verts, même si cela nuit au développement de projets immobiliers.",Environnement et développement durable,agreement,Cette question évalue la priorité accordée aux espaces verts face à la pression immobilière.,standard,"[""FA"", ""PA"", ""N"", ""PD"", ""FD"", ""IDK""]","[5, 4, 3, 2, 1]",,,,9,2025-09-24 00:41:13.423656+00,2025-09-24 00:41:13.423656+00,,laval,neutral,1.00,neutral,false
lav_spec_srb,"La Ville de Laval devrait prioriser le développement d'un système rapide par bus (SRB) et l'amélioration des liens de transport collectif vers Montréal, même si cela nécessite des investissements majeurs.",Mobilité et transport,agreement,Cette question évalue la priorité accordée au développement du transport collectif structurant face aux contraintes budgétaires.,standard,"[""FA"", ""PA"", ""N"", ""PD"", ""FD"", ""IDK""]","[5, 4, 3, 2, 1]",,,,1,2025-09-24 00:41:13.423656+00,2025-09-24 00:41:13.423656+00,,laval,economic,1.70,collaborative,false
