id,text,category,response_type,description,response_format,agreement_options,importance_options,importance_direct_options,custom_agreement_labels,custom_importance_direct_labels,order_index,created_at,updated_at,priority_options,municipality_id
gat_q4_reduction_depenses_taxes,La municipalité devrait réduire ses dépenses et ses taxes pour respecter la capacité de payer des citoyens.,Gouvernance et finances municipales,agreement,Cette question évalue la priorité accordée à la réduction de la charge fiscale municipale.,standard,"[""FA"",""PA"",""N"",""PD"",""FD"",""IDK""]","[5,4,3,2,1]",,,,4,2025-09-24 00:38:11.187436+00,2025-09-24 00:38:11.187436+00,,gatineau
gat_q5_immeubles_grande_hauteur,Les immeubles de grande hauteur devraient être favorisés à Gatineau pour maximiser l'utilisation des terrains disponibles.,Habitation et aménagement urbain,agreement,,standard,"[""FA"",""PA"",""N"",""PD"",""FD"",""IDK""]","[5,4,3,2,1]",,,,5,2025-09-24 00:38:11.187436+00,2025-09-24 00:38:11.187436+00,,gatineau
gat_q6_interdire_essence_centre_ville,La Ville de Gatineau devrait interdire les véhicules à essence dans le centre-ville d'ici 2035.,Environnement et développement durable,agreement,Cette question évalue la priorité accordée aux mesures environnementales radicales en mobilité urbaine.,standard,"[""FA"",""PA"",""N"",""PD"",""FD"",""IDK""]","[5,4,3,2,1]",,,,6,2025-09-24 00:38:11.187436+00,2025-09-24 00:38:11.187436+00,,gatineau
gat_q7_protection_espaces_verts,"La Ville de Gatineau devrait mettre plus d'argent pour protéger et agrandir les espaces verts, même si cela nuit au développement de projets immobiliers.",Environnement et développement durable,agreement,Cette question évalue la priorité accordée aux espaces verts face à la pression immobilière.,standard,"[""FA"",""PA"",""N"",""PD"",""FD"",""IDK""]","[5,4,3,2,1]",,,,7,2025-09-24 00:38:11.187436+00,2025-09-24 00:38:11.187436+00,,gatineau
gat_q8_transition_carboneutre,"La Ville de Gatineau devrait accélérer la transition des bâtiments ""carboneutres"" (qui n'ajoutent pas de pollution au climat), même si ça coûte plus cher.",Environnement et développement durable,agreement,,standard,"[""FA"",""PA"",""N"",""PD"",""FD"",""IDK""]","[5,4,3,2,1]",,,,8,2025-09-24 00:38:11.187436+00,2025-09-24 00:38:11.187436+00,,gatineau
gat_q9_reduction_dechets,La Ville de Gatineau devrait améliorer la collecte des ordures au lieu de la réduire pour des raisons environnementales.,Environnement et développement durable,agreement,Cette question évalue la priorité accordée aux services municipaux (collecte) par rapport à la réduction des collectes justifiée par l'environnement.,standard,"[""FA"",""PA"",""N"",""PD"",""FD"",""IDK""]","[5,4,3,2,1]",,,,9,2025-09-24 00:38:11.187436+00,2025-09-24 00:38:11.187436+00,,gatineau
lav_enjeux_prioritaires,"Parmi les enjeux suivants, lesquels sont vos 3 priorités municipales les plus importantes ? (Classez par ordre d'importance : 1er, 2e et 3e choix)",Priorités municipales,priority_ranking,Sélectionnez vos 3 enjeux municipaux prioritaires et classez-les par ordre d'importance.,standard,"[""FA"",""PA"",""N"",""PD"",""FD"",""IDK""]","[5,4,3,2,1]",,,,21,2025-09-24 00:41:13.423656+00,2025-09-24 00:41:13.423656+00,"[""Transport et mobilité"",""Logement abordable"",""Environnement et espaces verts"",""Sécurité publique"",""Gestion des finances municipales"",""Services municipaux"",""Lutte aux changements climatiques"",""Patrimoine et identité"",""Développement du SRB"",""Transport vers Montréal""]",laval
lav_equilibre_developpement_espaces_verts,"Dans le développement de nouveaux projets résidentiels, la Ville de Laval devrait prioriser la préservation des espaces verts et des milieux naturels, même si cela limite les possibilités de densification.",Environnement et développement durable,agreement,Cette question évalue l'équilibre entre développement urbain et préservation environnementale face à la croissance démographique.,standard,"[""FA"",""PA"",""N"",""PD"",""FD"",""IDK""]","[5,4,3,2,1]",,,,2,2025-09-24 00:41:13.423656+00,2025-09-24 00:41:13.423656+00,,laval
lav_q10_transition_carboneutre,"La Ville de Laval devrait accélérer la transition des bâtiments ""carboneutres"" (qui n'ajoutent pas de pollution au climat), même si ça coûte plus cher.",Environnement et développement durable,agreement,,standard,"[""FA"",""PA"",""N"",""PD"",""FD"",""IDK""]","[5,4,3,2,1]",,,,10,2025-09-24 00:41:13.423656+00,2025-09-24 00:41:13.423656+00,,laval
lav_q11_reduction_dechets,La Ville de Laval devrait améliorer la collecte des ordures au lieu de la réduire pour des raisons environnementales.,Environnement et développement durable,agreement,Cette question évalue la priorité accordée aux services municipaux (collecte) par rapport à la réduction des collectes justifiée par l'environnement.,standard,"[""FA"",""PA"",""N"",""PD"",""FD"",""IDK""]","[5,4,3,2,1]",,,,11,2025-09-24 00:41:13.423656+00,2025-09-24 00:41:13.423656+00,,laval
lav_q12_augmentation_taxes,"La Ville de Laval devrait investir davantage dans des projets écoresponsables (énergie verte, transport durable, bâtiments écologiques), même si cela nécessite d'augmenter les taxes foncières (impôt sur la propriété).",Gouvernance et finances municipales,agreement,,standard,"[""FA"",""PA"",""N"",""PD"",""FD"",""IDK""]","[5,4,3,2,1]",,,,12,2025-09-24 00:41:13.423656+00,2025-09-24 00:41:13.423656+00,,laval
lav_q13_pouvoir_conseils_quartier,La Ville de Laval devrait donner plus de pouvoir aux conseils de secteur pour décider des projets locaux.,Gouvernance et finances municipales,agreement,Cette question évalue la priorité accordée à la décentralisation de la gouvernance municipale.,standard,"[""FA"",""PA"",""N"",""PD"",""FD"",""IDK""]","[5,4,3,2,1]",,,,13,2025-09-24 00:41:13.423656+00,2025-09-24 00:41:13.423656+00,,laval
lav_q14_reduction_dette,"La Ville de Laval devrait prioriser l'amélioration des services essentiels (collecte des ordures, déneigement, etc.) avant d'investir dans des projets d'avenir.",Gouvernance et finances municipales,agreement,,standard,"[""FA"",""PA"",""N"",""PD"",""FD"",""IDK""]","[5,4,3,2,1]",,,,14,2025-09-24 00:41:13.423656+00,2025-09-24 00:41:13.423656+00,,laval
lav_q15_avantages_fiscaux_entreprises,La Ville de Laval devrait offrir plus de réductions de taxes ou autres avantages fiscaux pour attirer de grandes entreprises.,Développement économique et social,agreement,,standard,"[""FA"",""PA"",""N"",""PD"",""FD"",""IDK""]","[5,4,3,2,1]",,,,15,2025-09-24 00:41:13.423656+00,2025-09-24 00:41:13.423656+00,,laval
lav_q16_limitation_touristes,La Ville de Laval devrait limiter le nombre de touristes dans certains secteurs pour protéger la qualité de vie des résidents.,Développement économique et social,agreement,Cette question mesure la priorité accordée à l'équilibre entre tourisme et vie locale.,standard,"[""FA"",""PA"",""N"",""PD"",""FD"",""IDK""]","[5,4,3,2,1]",,,,16,2025-09-24 00:41:13.423656+00,2025-09-24 00:41:13.423656+00,,laval
lav_q17_soutien_organismes_communautaires,"La Ville de Laval devrait donner plus d'argent aux organismes communautaires qui aident pour des services sociaux essentiels (itinérance, aide alimentaire, etc).",Développement économique et social,agreement,,standard,"[""FA"",""PA"",""N"",""PD"",""FD"",""IDK""]","[5,4,3,2,1]",,,,17,2025-09-24 00:41:13.423656+00,2025-09-24 00:41:13.423656+00,,laval
lav_q18_augmentation_effectifs_policiers,Il faudrait augmenter le nombre de policiers pour améliorer la sécurité dans les secteurs.,Sécurité publique et services municipaux,agreement,,standard,"[""FA"",""PA"",""N"",""PD"",""FD"",""IDK""]","[5,4,3,2,1]",,,,18,2025-09-24 00:41:13.423656+00,2025-09-24 00:41:13.423656+00,,laval
lav_q19_investissement_infrastructures_loisirs_sportives,"La Ville de Laval devrait investir plus dans les parcs, arénas et terrains de sport de secteur.",Sécurité publique et services municipaux,agreement,Cette question évalue la priorité accordée aux services de proximité.,standard,"[""FA"",""PA"",""N"",""PD"",""FD"",""IDK""]","[5,4,3,2,1]",,,,19,2025-09-24 00:41:13.423656+00,2025-09-24 00:41:13.423656+00,,laval
lav_q2_pistes_cyclables,"La Ville de Laval devrait développer davantage les pistes cyclables, même si cela réduit l'espace pour les voitures.",Mobilité et transport,agreement,Cette question évalue la priorité accordée aux transports actifs versus l'automobile.,standard,"[""FA"",""PA"",""N"",""PD"",""FD"",""IDK""]","[5,4,3,2,1]",,,,3,2025-09-24 00:41:13.423656+00,2025-09-24 00:41:13.423656+00,,laval
lav_q20_protection_patrimoine,"La Ville de Laval devrait renforcer les règles qui protègent les vieux bâtiments et le patrimoine, même si cela limite certains projets.",Patrimoine et identité,agreement,,standard,"[""FA"",""PA"",""N"",""PD"",""FD"",""IDK""]","[5,4,3,2,1]",,,,20,2025-09-24 00:41:13.423656+00,2025-09-24 00:41:13.423656+00,,laval
lav_q4_priorite_mobilite_active,"Pour améliorer l'attractivité du centre-ville, la priorité devrait être donnée aux piétons, cyclistes et au transport collectif, même si cela implique de réduire l'espace dédié à l'automobile (stationnements, voies de circulation, etc.).",Mobilité et transport,agreement,,standard,"[""FA"",""PA"",""N"",""PD"",""FD"",""IDK""]","[5,4,3,2,1]",,,,4,2025-09-24 00:41:13.423656+00,2025-09-24 00:41:13.423656+00,,laval
lav_q5_quotas_logements_abordables,La Ville de Laval devrait obliger un nombre minimum de logements abordables dans chaque nouveau projet immobilier.,Habitation et aménagement urbain,agreement,,standard,"[""FA"",""PA"",""N"",""PD"",""FD"",""IDK""]","[5,4,3,2,1]",,,,5,2025-09-24 00:41:13.423656+00,2025-09-24 00:41:13.423656+00,,laval
lav_q6_reduction_depenses_taxes,La Ville de Laval devrait réduire ses dépenses et ses taxes pour respecter la capacité de payer des citoyens.,Gouvernance et finances municipales,agreement,Cette question évalue la priorité accordée à la réduction de la charge fiscale municipale.,standard,"[""FA"",""PA"",""N"",""PD"",""FD"",""IDK""]","[5,4,3,2,1]",,,,6,2025-09-24 00:41:13.423656+00,2025-09-24 00:41:13.423656+00,,laval
lav_q7_immeubles_grande_hauteur,Les immeubles de grande hauteur devraient être favorisés pour maximiser l'utilisation des terrains disponibles.,Habitation et aménagement urbain,agreement,,standard,"[""FA"",""PA"",""N"",""PD"",""FD"",""IDK""]","[5,4,3,2,1]",,,,7,2025-09-24 00:41:13.423656+00,2025-09-24 00:41:13.423656+00,,laval
lav_q8_interdire_essence_centre_ville,La Ville de Laval devrait interdire les véhicules à essence dans le centre-ville d'ici 2035.,Environnement et développement durable,agreement,Cette question évalue la priorité accordée aux mesures environnementales radicales en mobilité urbaine.,standard,"[""FA"",""PA"",""N"",""PD"",""FD"",""IDK""]","[5,4,3,2,1]",,,,8,2025-09-24 00:41:13.423656+00,2025-09-24 00:41:13.423656+00,,laval
lav_q9_protection_espaces_verts,"La Ville de Laval devrait mettre plus d'argent pour protéger et agrandir les espaces verts, même si cela nuit au développement de projets immobiliers.",Environnement et développement durable,agreement,Cette question évalue la priorité accordée aux espaces verts face à la pression immobilière.,standard,"[""FA"",""PA"",""N"",""PD"",""FD"",""IDK""]","[5,4,3,2,1]",,,,9,2025-09-24 00:41:13.423656+00,2025-09-24 00:41:13.423656+00,,laval
lav_srb_transport_montreal,"La Ville de Laval devrait prioriser le développement d'un système rapide par bus (SRB) et l'amélioration des liens de transport collectif vers Montréal, même si cela nécessite des investissements majeurs.",Mobilité et transport,agreement,Cette question évalue la priorité accordée au développement du transport collectif structurant face aux contraintes budgétaires.,standard,"[""FA"",""PA"",""N"",""PD"",""FD"",""IDK""]","[5,4,3,2,1]",,,,1,2025-09-24 00:41:13.423656+00,2025-09-24 00:41:13.423656+00,,laval
lev_enjeux_prioritaires,"Parmi les enjeux suivants, lesquels sont vos 3 priorités municipales les plus importantes ? (Classez par ordre d'importance : 1er, 2e et 3e choix)",Priorités municipales,priority_ranking,Sélectionnez vos 3 enjeux municipaux prioritaires et classez-les par ordre d'importance.,standard,"[""FA"",""PA"",""N"",""PD"",""FD"",""IDK""]","[5,4,3,2,1]",,,,21,2025-09-24 01:01:22.999734+00,2025-09-24 01:01:22.999734+00,"[""Transport et mobilité"",""Logement abordable"",""Environnement et espaces verts"",""Sécurité publique"",""Gestion des finances municipales"",""Services municipaux"",""Lutte aux changements climatiques"",""Patrimoine et identité"",""Troisième lien routier"",""Traverse Québec-Lévis""]",
lev_q10_transition_carboneutre,"La Ville de Lévis devrait accélérer la transition des bâtiments ""carboneutres"" (qui n'ajoutent pas de pollution au climat), même si ça coûte plus cher.",Environnement et développement durable,agreement,,standard,"[""FA"",""PA"",""N"",""PD"",""FD"",""IDK""]","[5,4,3,2,1]",,,,10,2025-09-24 01:01:22.999734+00,2025-09-24 01:01:22.999734+00,,
lev_q11_reduction_dechets,La Ville de Lévis devrait améliorer la collecte des ordures au lieu de la réduire pour des raisons environnementales.,Environnement et développement durable,agreement,Cette question évalue la priorité accordée aux services municipaux (collecte) par rapport à la réduction des collectes justifiée par l'environnement.,standard,"[""FA"",""PA"",""N"",""PD"",""FD"",""IDK""]","[5,4,3,2,1]",,,,11,2025-09-24 01:01:22.999734+00,2025-09-24 01:01:22.999734+00,,
lev_q12_augmentation_taxes,"La Ville de Lévis devrait investir davantage dans des projets écoresponsables (énergie verte, transport durable, bâtiments écologiques), même si cela nécessite d'augmenter les taxes foncières (impôt sur la propriété).",Gouvernance et finances municipales,agreement,,standard,"[""FA"",""PA"",""N"",""PD"",""FD"",""IDK""]","[5,4,3,2,1]",,,,12,2025-09-24 01:01:22.999734+00,2025-09-24 01:01:22.999734+00,,
lev_q13_pouvoir_conseils_quartier,La Ville de Lévis devrait donner plus de pouvoir aux conseils d'arrondissement pour décider des projets locaux.,Gouvernance et finances municipales,agreement,Cette question évalue la priorité accordée à la décentralisation de la gouvernance municipale.,standard,"[""FA"",""PA"",""N"",""PD"",""FD"",""IDK""]","[5,4,3,2,1]",,,,13,2025-09-24 01:01:22.999734+00,2025-09-24 01:01:22.999734+00,,
lev_q14_reduction_dette,"La Ville de Lévis devrait prioriser l'amélioration des services essentiels (collecte des ordures, déneigement, etc.) avant d'investir dans des projets d'avenir.",Gouvernance et finances municipales,agreement,,standard,"[""FA"",""PA"",""N"",""PD"",""FD"",""IDK""]","[5,4,3,2,1]",,,,14,2025-09-24 01:01:22.999734+00,2025-09-24 01:01:22.999734+00,,
lev_q15_avantages_fiscaux_entreprises,La Ville de Lévis devrait offrir plus de réductions de taxes ou autres avantages fiscaux pour attirer de grandes entreprises.,Développement économique et social,agreement,,standard,"[""FA"",""PA"",""N"",""PD"",""FD"",""IDK""]","[5,4,3,2,1]",,,,15,2025-09-24 01:01:22.999734+00,2025-09-24 01:01:22.999734+00,,
lev_q16_limitation_touristes,La Ville de Lévis devrait limiter le nombre de touristes dans certains arrondissements pour protéger la qualité de vie des résidents.,Développement économique et social,agreement,Cette question mesure la priorité accordée à l'équilibre entre tourisme et vie locale.,standard,"[""FA"",""PA"",""N"",""PD"",""FD"",""IDK""]","[5,4,3,2,1]",,,,16,2025-09-24 01:01:22.999734+00,2025-09-24 01:01:22.999734+00,,
lev_q17_soutien_organismes_communautaires,"La Ville de Lévis devrait donner plus d'argent aux organismes communautaires qui aident pour des services sociaux essentiels (itinérance, aide alimentaire, etc).",Développement économique et social,agreement,,standard,"[""FA"",""PA"",""N"",""PD"",""FD"",""IDK""]","[5,4,3,2,1]",,,,17,2025-09-24 01:01:22.999734+00,2025-09-24 01:01:22.999734+00,,
lev_q18_augmentation_effectifs_policiers,Il faudrait augmenter le nombre de policiers pour améliorer la sécurité dans les arrondissements.,Sécurité publique et services municipaux,agreement,,standard,"[""FA"",""PA"",""N"",""PD"",""FD"",""IDK""]","[5,4,3,2,1]",,,,18,2025-09-24 01:01:22.999734+00,2025-09-24 01:01:22.999734+00,,
lev_q19_investissement_infrastructures_loisirs_sportives,"La Ville de Lévis devrait investir plus dans les parcs, arénas et terrains de sport de quartier.",Sécurité publique et services municipaux,agreement,Cette question évalue la priorité accordée aux services de proximité.,standard,"[""FA"",""PA"",""N"",""PD"",""FD"",""IDK""]","[5,4,3,2,1]",,,,19,2025-09-24 01:01:22.999734+00,2025-09-24 01:01:22.999734+00,,
lev_q2_pistes_cyclables,"La Ville de Lévis devrait développer davantage les pistes cyclables, même si cela réduit l'espace pour les voitures.",Mobilité et transport,agreement,Cette question évalue la priorité accordée aux transports actifs versus l'automobile.,standard,"[""FA"",""PA"",""N"",""PD"",""FD"",""IDK""]","[5,4,3,2,1]",,,,3,2025-09-24 01:01:22.999734+00,2025-09-24 01:01:22.999734+00,,
lev_q20_protection_patrimoine,"La Ville de Lévis devrait renforcer les règles qui protègent les vieux bâtiments et le patrimoine, même si cela limite certains projets.",Patrimoine et identité,agreement,,standard,"[""FA"",""PA"",""N"",""PD"",""FD"",""IDK""]","[5,4,3,2,1]",,,,20,2025-09-24 01:01:22.999734+00,2025-09-24 01:01:22.999734+00,,
lev_q3_troisieme_lien,"La Ville de Lévis devrait soutenir activement la construction du troisième lien routier Québec-Lévis, même si le projet nécessite des investissements publics majeurs.",Mobilité et transport,agreement,Cette question évalue la priorité accordée au projet structurant du troisième lien entre Québec et Lévis.,standard,"[""FA"",""PA"",""N"",""PD"",""FD"",""IDK""]","[5,4,3,2,1]",,,,1,2025-09-24 01:01:22.999734+00,2025-09-24 01:01:22.999734+00,,
lev_q4_priorite_mobilite_active,"Pour améliorer l'attractivité du centre-ville, la priorité devrait être donnée aux piétons, cyclistes et au transport collectif, même si cela implique de réduire l'espace dédié à l'automobile (stationnements, voies de circulation, etc.).",Mobilité et transport,agreement,,standard,"[""FA"",""PA"",""N"",""PD"",""FD"",""IDK""]","[5,4,3,2,1]",,,,4,2025-09-24 01:01:22.999734+00,2025-09-24 01:01:22.999734+00,,
lev_q5_quotas_logements_abordables,La Ville de Lévis devrait obliger un nombre minimum de logements abordables dans chaque nouveau projet immobilier.,Habitation et aménagement urbain,agreement,,standard,"[""FA"",""PA"",""N"",""PD"",""FD"",""IDK""]","[5,4,3,2,1]",,,,5,2025-09-24 01:01:22.999734+00,2025-09-24 01:01:22.999734+00,,
lev_q6_reduction_depenses_taxes,La Ville de Lévis devrait réduire ses dépenses et ses taxes pour respecter la capacité de payer des citoyens.,Gouvernance et finances municipales,agreement,Cette question évalue la priorité accordée à la réduction de la charge fiscale municipale.,standard,"[""FA"",""PA"",""N"",""PD"",""FD"",""IDK""]","[5,4,3,2,1]",,,,6,2025-09-24 01:01:22.999734+00,2025-09-24 01:01:22.999734+00,,
lev_q7_immeubles_grande_hauteur,Les immeubles de grande hauteur devraient être favorisés pour maximiser l'utilisation des terrains disponibles.,Habitation et aménagement urbain,agreement,,standard,"[""FA"",""PA"",""N"",""PD"",""FD"",""IDK""]","[5,4,3,2,1]",,,,7,2025-09-24 01:01:22.999734+00,2025-09-24 01:01:22.999734+00,,
lev_q8_interdire_essence_centre_ville,La Ville de Lévis devrait interdire les véhicules à essence dans le centre-ville d'ici 2035.,Environnement et développement durable,agreement,Cette question évalue la priorité accordée aux mesures environnementales radicales en mobilité urbaine.,standard,"[""FA"",""PA"",""N"",""PD"",""FD"",""IDK""]","[5,4,3,2,1]",,,,8,2025-09-24 01:01:22.999734+00,2025-09-24 01:01:22.999734+00,,
lev_q9_protection_espaces_verts,"La Ville de Lévis devrait mettre plus d'argent pour protéger et agrandir les espaces verts, même si cela nuit au développement de projets immobiliers.",Environnement et développement durable,agreement,Cette question évalue la priorité accordée aux espaces verts face à la pression immobilière.,standard,"[""FA"",""PA"",""N"",""PD"",""FD"",""IDK""]","[5,4,3,2,1]",,,,9,2025-09-24 01:01:22.999734+00,2025-09-24 01:01:22.999734+00,,
lev_traverse_quebec_levis,"La Ville de Lévis devrait investir davantage pour améliorer la fréquence et la qualité du service de la traverse Québec-Lévis, même si cela augmente les coûts municipaux.",Mobilité et transport,agreement,Cette question évalue la priorité accordée à l'amélioration du transport maritime entre les deux rives.,standard,"[""FA"",""PA"",""N"",""PD"",""FD"",""IDK""]","[5,4,3,2,1]",,,,2,2025-09-24 01:01:22.999734+00,2025-09-24 01:01:22.999734+00,,
lng_aeroport_qualite_vie,"La Ville de Longueuil devrait limiter l'expansion aéroportuaire et le développement d'activités connexes pour préserver la qualité de vie des résidents, même si cela réduit les opportunités économiques locales.",Développement économique et social,agreement,Cette question évalue l'équilibre entre le développement économique aéroportuaire et la protection de la qualité de vie résidentielle.,standard,"[""FA"",""PA"",""N"",""PD"",""FD"",""IDK""]","[5,4,3,2,1]",,,,3,2025-09-24 01:07:17.806826+00,2025-09-24 01:07:17.806826+00,,longueuil
